,Embarked,cidade_de_embarque
0,S,Southampton
1,C,Cherbourg
2,S,Southampton
3,S,Southampton
4,S,Southampton
5,Q,Queenstown
6,S,Southampton
7,S,Southampton
8,S,Southampton
9,C,Cherbourg
10,S,Southampton
11,S,Southampton
12,S,Southampton
13,S,Southampton
14,S,Southampton
15,S,Southampton
16,Q,Queenstown
17,S,Southampton
18,S,Southampton
19,C,Cherbourg
20,S,Southampton
21,S,Southampton
22,Q,Queenstown
23,S,Southampton
24,S,Southampton
25,S,Southampton
26,C,Cherbourg
27,S,Southampton
28,Q,Queenstown
29,S,Southampton
30,C,Cherbourg
31,C,Cherbourg
32,Q,Queenstown
33,S,Southampton
34,C,Cherbourg
35,S,Southampton
36,C,Cherbourg
37,S,Southampton
38,S,Southampton
39,C,Cherbourg
40,S,Southampton
41,S,Southampton
42,C,Cherbourg
43,C,Cherbourg
44,Q,Queenstown
45,S,Southampton
46,Q,Queenstown
47,Q,Queenstown
48,C,Cherbourg
49,S,Southampton
50,S,Southampton
51,S,Southampton
52,C,Cherbourg
53,S,Southampton
54,C,Cherbourg
55,S,Southampton
56,S,Southampton
57,C,Cherbourg
58,S,Southampton
59,S,Southampton
60,C,Cherbourg
61,,
62,S,Southampton
63,S,Southampton
64,C,Cherbourg
65,C,Cherbourg
66,S,Southampton
67,S,Southampton
68,S,Southampton
69,S,Southampton
70,S,Southampton
71,S,Southampton
72,S,Southampton
73,C,Cherbourg
74,S,Southampton
75,S,Southampton
76,S,Southampton
77,S,Southampton
78,S,Southampton
79,S,Southampton
80,S,Southampton
81,S,Southampton
82,Q,Queenstown
83,S,Southampton
84,S,Southampton
85,S,Southampton
86,S,Southampton
87,S,Southampton
88,S,Southampton
89,S,Southampton
90,S,Southampton
91,S,Southampton
92,S,Southampton
93,S,Southampton
94,S,Southampton
95,S,Southampton
96,C,Cherbourg
97,C,Cherbourg
98,S,Southampton
99,S,Southampton
100,S,Southampton
101,S,Southampton
102,S,Southampton
103,S,Southampton
104,S,Southampton
105,S,Southampton
106,S,Southampton
107,S,Southampton
108,S,Southampton
109,Q,Queenstown
110,S,Southampton
111,C,Cherbourg
112,S,Southampton
113,S,Southampton
114,C,Cherbourg
115,S,Southampton
116,Q,Queenstown
117,S,Southampton
118,C,Cherbourg
119,S,Southampton
120,S,Southampton
121,S,Southampton
122,C,Cherbourg
123,S,Southampton
124,S,Southampton
125,C,Cherbourg
126,Q,Queenstown
127,S,Southampton
128,C,Cherbourg
129,S,Southampton
130,C,Cherbourg
131,S,Southampton
132,S,Southampton
133,S,Southampton
134,S,Southampton
135,C,Cherbourg
136,S,Southampton
137,S,Southampton
138,S,Southampton
139,C,Cherbourg
140,C,Cherbourg
141,S,Southampton
142,S,Southampton
143,Q,Queenstown
144,S,Southampton
145,S,Southampton
146,S,Southampton
147,S,Southampton
148,S,Southampton
149,S,Southampton
150,S,Southampton
151,S,Southampton
152,S,Southampton
153,S,Southampton
154,S,Southampton
155,C,Cherbourg
156,Q,Queenstown
157,S,Southampton
158,S,Southampton
159,S,Southampton
160,S,Southampton
161,S,Southampton
162,S,Southampton
163,S,Southampton
164,S,Southampton
165,S,Southampton
166,S,Southampton
167,S,Southampton
168,S,Southampton
169,S,Southampton
170,S,Southampton
171,Q,Queenstown
172,S,Southampton
173,S,Southampton
174,C,Cherbourg
175,S,Southampton
176,S,Southampton
177,C,Cherbourg
178,S,Southampton
179,S,Southampton
180,S,Southampton
181,C,Cherbourg
182,S,Southampton
183,S,Southampton
184,S,Southampton
185,S,Southampton
186,Q,Queenstown
187,S,Southampton
188,Q,Queenstown
189,S,Southampton
190,S,Southampton
191,S,Southampton
192,S,Southampton
193,S,Southampton
194,C,Cherbourg
195,C,Cherbourg
196,Q,Queenstown
197,S,Southampton
198,Q,Queenstown
199,S,Southampton
200,S,Southampton
201,S,Southampton
202,S,Southampton
203,C,Cherbourg
204,S,Southampton
205,S,Southampton
206,S,Southampton
207,C,Cherbourg
208,Q,Queenstown
209,C,Cherbourg
210,S,Southampton
211,S,Southampton
212,S,Southampton
213,S,Southampton
214,Q,Queenstown
215,C,Cherbourg
216,S,Southampton
217,S,Southampton
218,C,Cherbourg
219,S,Southampton
220,S,Southampton
221,S,Southampton
222,S,Southampton
223,S,Southampton
224,S,Southampton
225,S,Southampton
226,S,Southampton
227,S,Southampton
228,S,Southampton
229,S,Southampton
230,S,Southampton
231,S,Southampton
232,S,Southampton
233,S,Southampton
234,S,Southampton
235,S,Southampton
236,S,Southampton
237,S,Southampton
238,S,Southampton
239,S,Southampton
240,C,Cherbourg
241,Q,Queenstown
242,S,Southampton
243,S,Southampton
244,C,Cherbourg
245,Q,Queenstown
246,S,Southampton
247,S,Southampton
248,S,Southampton
249,S,Southampton
250,S,Southampton
251,S,Southampton
252,S,Southampton
253,S,Southampton
254,S,Southampton
255,C,Cherbourg
256,C,Cherbourg
257,S,Southampton
258,C,Cherbourg
259,S,Southampton
260,Q,Queenstown
261,S,Southampton
262,S,Southampton
263,S,Southampton
264,Q,Queenstown
265,S,Southampton
266,S,Southampton
267,S,Southampton
268,S,Southampton
269,S,Southampton
270,S,Southampton
271,S,Southampton
272,S,Southampton
273,C,Cherbourg
274,Q,Queenstown
275,S,Southampton
276,S,Southampton
277,S,Southampton
278,Q,Queenstown
279,S,Southampton
280,Q,Queenstown
281,S,Southampton
282,S,Southampton
283,S,Southampton
284,S,Southampton
285,C,Cherbourg
286,S,Southampton
287,S,Southampton
288,S,Southampton
289,Q,Queenstown
290,S,Southampton
291,C,Cherbourg
292,C,Cherbourg
293,S,Southampton
294,S,Southampton
295,C,Cherbourg
296,C,Cherbourg
297,S,Southampton
298,S,Southampton
299,C,Cherbourg
300,Q,Queenstown
301,Q,Queenstown
302,S,Southampton
303,Q,Queenstown
304,S,Southampton
305,S,Southampton
306,C,Cherbourg
307,C,Cherbourg
308,C,Cherbourg
309,C,Cherbourg
310,C,Cherbourg
311,C,Cherbourg
312,S,Southampton
313,S,Southampton
314,S,Southampton
315,S,Southampton
316,S,Southampton
317,S,Southampton
318,S,Southampton
319,C,Cherbourg
320,S,Southampton
321,S,Southampton
322,Q,Queenstown
323,S,Southampton
324,S,Southampton
325,C,Cherbourg
326,S,Southampton
327,S,Southampton
328,S,Southampton
329,C,Cherbourg
330,Q,Queenstown
331,S,Southampton
332,S,Southampton
333,S,Southampton
334,S,Southampton
335,S,Southampton
336,S,Southampton
337,C,Cherbourg
338,S,Southampton
339,S,Southampton
340,S,Southampton
341,S,Southampton
342,S,Southampton
343,S,Southampton
344,S,Southampton
345,S,Southampton
346,S,Southampton
347,S,Southampton
348,S,Southampton
349,S,Southampton
350,S,Southampton
351,S,Southampton
352,C,Cherbourg
353,S,Southampton
354,C,Cherbourg
355,S,Southampton
356,S,Southampton
357,S,Southampton
358,Q,Queenstown
359,Q,Queenstown
360,S,Southampton
361,C,Cherbourg
362,C,Cherbourg
363,S,Southampton
364,Q,Queenstown
365,S,Southampton
366,C,Cherbourg
367,C,Cherbourg
368,Q,Queenstown
369,C,Cherbourg
370,C,Cherbourg
371,S,Southampton
372,S,Southampton
373,C,Cherbourg
374,S,Southampton
375,C,Cherbourg
376,S,Southampton
377,C,Cherbourg
378,C,Cherbourg
379,S,Southampton
380,C,Cherbourg
381,C,Cherbourg
382,S,Southampton
383,S,Southampton
384,S,Southampton
385,S,Southampton
386,S,Southampton
387,S,Southampton
388,Q,Queenstown
389,C,Cherbourg
390,S,Southampton
391,S,Southampton
392,S,Southampton
393,C,Cherbourg
394,S,Southampton
395,S,Southampton
396,S,Southampton
397,S,Southampton
398,S,Southampton
399,S,Southampton
400,S,Southampton
401,S,Southampton
402,S,Southampton
403,S,Southampton
404,S,Southampton
405,S,Southampton
406,S,Southampton
407,S,Southampton
408,S,Southampton
409,S,Southampton
410,S,Southampton
411,Q,Queenstown
412,Q,Queenstown
413,S,Southampton
414,S,Southampton
415,S,Southampton
416,S,Southampton
417,S,Southampton
418,S,Southampton
419,S,Southampton
420,C,Cherbourg
421,Q,Queenstown
422,S,Southampton
423,S,Southampton
424,S,Southampton
425,S,Southampton
426,S,Southampton
427,S,Southampton
428,Q,Queenstown
429,S,Southampton
430,S,Southampton
431,S,Southampton
432,S,Southampton
433,S,Southampton
434,S,Southampton
435,S,Southampton
436,S,Southampton
437,S,Southampton
438,S,Southampton
439,S,Southampton
440,S,Southampton
441,S,Southampton
442,S,Southampton
443,S,Southampton
444,S,Southampton
445,S,Southampton
446,S,Southampton
447,S,Southampton
448,C,Cherbourg
449,S,Southampton
450,S,Southampton
451,S,Southampton
452,C,Cherbourg
453,C,Cherbourg
454,S,Southampton
455,C,Cherbourg
456,S,Southampton
457,S,Southampton
458,S,Southampton
459,Q,Queenstown
460,S,Southampton
461,S,Southampton
462,S,Southampton
463,S,Southampton
464,S,Southampton
465,S,Southampton
466,S,Southampton
467,S,Southampton
468,Q,Queenstown
469,C,Cherbourg
470,S,Southampton
471,S,Southampton
472,S,Southampton
473,C,Cherbourg
474,S,Southampton
475,S,Southampton
476,S,Southampton
477,S,Southampton
478,S,Southampton
479,S,Southampton
480,S,Southampton
481,S,Southampton
482,S,Southampton
483,S,Southampton
484,C,Cherbourg
485,S,Southampton
486,S,Southampton
487,C,Cherbourg
488,S,Southampton
489,S,Southampton
490,S,Southampton
491,S,Southampton
492,S,Southampton
493,C,Cherbourg
494,S,Southampton
495,C,Cherbourg
496,C,Cherbourg
497,S,Southampton
498,S,Southampton
499,S,Southampton
500,S,Southampton
501,Q,Queenstown
502,Q,Queenstown
503,S,Southampton
504,S,Southampton
505,C,Cherbourg
506,S,Southampton
507,S,Southampton
508,S,Southampton
509,S,Southampton
510,Q,Queenstown
511,S,Southampton
512,S,Southampton
513,C,Cherbourg
514,S,Southampton
515,S,Southampton
516,S,Southampton
517,Q,Queenstown
518,S,Southampton
519,S,Southampton
520,S,Southampton
521,S,Southampton
522,C,Cherbourg
523,C,Cherbourg
524,C,Cherbourg
525,Q,Queenstown
526,S,Southampton
527,S,Southampton
528,S,Southampton
529,S,Southampton
530,S,Southampton
531,C,Cherbourg
532,C,Cherbourg
533,C,Cherbourg
534,S,Southampton
535,S,Southampton
536,S,Southampton
537,C,Cherbourg
538,S,Southampton
539,C,Cherbourg
540,S,Southampton
541,S,Southampton
542,S,Southampton
543,S,Southampton
544,C,Cherbourg
545,S,Southampton
546,S,Southampton
547,C,Cherbourg
548,S,Southampton
549,S,Southampton
550,C,Cherbourg
551,S,Southampton
552,Q,Queenstown
553,C,Cherbourg
554,S,Southampton
555,S,Southampton
556,C,Cherbourg
557,C,Cherbourg
558,S,Southampton
559,S,Southampton
560,Q,Queenstown
561,S,Southampton
562,S,Southampton
563,S,Southampton
564,S,Southampton
565,S,Southampton
566,S,Southampton
567,S,Southampton
568,C,Cherbourg
569,S,Southampton
570,S,Southampton
571,S,Southampton
572,S,Southampton
573,Q,Queenstown
574,S,Southampton
575,S,Southampton
576,S,Southampton
577,S,Southampton
578,C,Cherbourg
579,S,Southampton
580,S,Southampton
581,C,Cherbourg
582,S,Southampton
583,C,Cherbourg
584,C,Cherbourg
585,S,Southampton
586,S,Southampton
587,C,Cherbourg
588,S,Southampton
589,S,Southampton
590,S,Southampton
591,C,Cherbourg
592,S,Southampton
593,Q,Queenstown
594,S,Southampton
595,S,Southampton
596,S,Southampton
597,S,Southampton
598,C,Cherbourg
599,C,Cherbourg
600,S,Southampton
601,S,Southampton
602,S,Southampton
603,S,Southampton
604,C,Cherbourg
605,S,Southampton
606,S,Southampton
607,S,Southampton
608,C,Cherbourg
609,S,Southampton
610,S,Southampton
611,S,Southampton
612,Q,Queenstown
613,Q,Queenstown
614,S,Southampton
615,S,Southampton
616,S,Southampton
617,S,Southampton
618,S,Southampton
619,S,Southampton
620,C,Cherbourg
621,S,Southampton
622,C,Cherbourg
623,S,Southampton
624,S,Southampton
625,S,Southampton
626,Q,Queenstown
627,S,Southampton
628,S,Southampton
629,Q,Queenstown
630,S,Southampton
631,S,Southampton
632,C,Cherbourg
633,S,Southampton
634,S,Southampton
635,S,Southampton
636,S,Southampton
637,S,Southampton
638,S,Southampton
639,S,Southampton
640,S,Southampton
641,C,Cherbourg
642,S,Southampton
643,S,Southampton
644,C,Cherbourg
645,C,Cherbourg
646,S,Southampton
647,C,Cherbourg
648,S,Southampton
649,S,Southampton
650,S,Southampton
651,S,Southampton
652,S,Southampton
653,Q,Queenstown
654,Q,Queenstown
655,S,Southampton
656,S,Southampton
657,Q,Queenstown
658,S,Southampton
659,C,Cherbourg
660,S,Southampton
661,C,Cherbourg
662,S,Southampton
663,S,Southampton
664,S,Southampton
665,S,Southampton
666,S,Southampton
667,S,Southampton
668,S,Southampton
669,S,Southampton
670,S,Southampton
671,S,Southampton
672,S,Southampton
673,S,Southampton
674,S,Southampton
675,S,Southampton
676,S,Southampton
677,S,Southampton
678,S,Southampton
679,C,Cherbourg
680,Q,Queenstown
681,C,Cherbourg
682,S,Southampton
683,S,Southampton
684,S,Southampton
685,C,Cherbourg
686,S,Southampton
687,S,Southampton
688,S,Southampton
689,S,Southampton
690,S,Southampton
691,C,Cherbourg
692,S,Southampton
693,C,Cherbourg
694,S,Southampton
695,S,Southampton
696,S,Southampton
697,Q,Queenstown
698,C,Cherbourg
699,S,Southampton
700,C,Cherbourg
701,S,Southampton
702,C,Cherbourg
703,Q,Queenstown
704,S,Southampton
705,S,Southampton
706,S,Southampton
707,S,Southampton
708,S,Southampton
709,C,Cherbourg
710,C,Cherbourg
711,S,Southampton
712,S,Southampton
713,S,Southampton
714,S,Southampton
715,S,Southampton
716,C,Cherbourg
717,S,Southampton
718,Q,Queenstown
719,S,Southampton
720,S,Southampton
721,S,Southampton
722,S,Southampton
723,S,Southampton
724,S,Southampton
725,S,Southampton
726,S,Southampton
727,Q,Queenstown
728,S,Southampton
729,S,Southampton
730,S,Southampton
731,C,Cherbourg
732,S,Southampton
733,S,Southampton
734,S,Southampton
735,S,Southampton
736,S,Southampton
737,C,Cherbourg
738,S,Southampton
739,S,Southampton
740,S,Southampton
741,S,Southampton
742,C,Cherbourg
743,S,Southampton
744,S,Southampton
745,S,Southampton
746,S,Southampton
747,S,Southampton
748,S,Southampton
749,Q,Queenstown
750,S,Southampton
751,S,Southampton
752,S,Southampton
753,S,Southampton
754,S,Southampton
755,S,Southampton
756,S,Southampton
757,S,Southampton
758,S,Southampton
759,S,Southampton
760,S,Southampton
761,S,Southampton
762,C,Cherbourg
763,S,Southampton
764,S,Southampton
765,S,Southampton
766,C,Cherbourg
767,Q,Queenstown
768,Q,Queenstown
769,S,Southampton
770,S,Southampton
771,S,Southampton
772,S,Southampton
773,C,Cherbourg
774,S,Southampton
775,S,Southampton
776,Q,Queenstown
777,S,Southampton
778,Q,Queenstown
779,S,Southampton
780,C,Cherbourg
781,S,Southampton
782,S,Southampton
783,S,Southampton
784,S,Southampton
785,S,Southampton
786,S,Southampton
787,Q,Queenstown
788,S,Southampton
789,C,Cherbourg
790,Q,Queenstown
791,S,Southampton
792,S,Southampton
793,C,Cherbourg
794,S,Southampton
795,S,Southampton
796,S,Southampton
797,S,Southampton
798,C,Cherbourg
799,S,Southampton
800,S,Southampton
801,S,Southampton
802,S,Southampton
803,C,Cherbourg
804,S,Southampton
805,S,Southampton
806,S,Southampton
807,S,Southampton
808,S,Southampton
809,S,Southampton
810,S,Southampton
811,S,Southampton
812,S,Southampton
813,S,Southampton
814,S,Southampton
815,S,Southampton
816,S,Southampton
817,C,Cherbourg
818,S,Southampton
819,S,Southampton
820,S,Southampton
821,S,Southampton
822,S,Southampton
823,S,Southampton
824,S,Southampton
825,Q,Queenstown
826,S,Southampton
827,C,Cherbourg
828,Q,Queenstown
829,,
830,C,Cherbourg
831,S,Southampton
832,C,Cherbourg
833,S,Southampton
834,S,Southampton
835,C,Cherbourg
836,S,Southampton
837,S,Southampton
838,S,Southampton
839,C,Cherbourg
840,S,Southampton
841,S,Southampton
842,C,Cherbourg
843,C,Cherbourg
844,S,Southampton
845,S,Southampton
846,S,Southampton
847,C,Cherbourg
848,S,Southampton
849,C,Cherbourg
850,S,Southampton
851,S,Southampton
852,C,Cherbourg
853,S,Southampton
854,S,Southampton
855,S,Southampton
856,S,Southampton
857,S,Southampton
858,C,Cherbourg
859,C,Cherbourg
860,S,Southampton
861,S,Southampton
862,S,Southampton
863,S,Southampton
864,S,Southampton
865,S,Southampton
866,C,Cherbourg
867,S,Southampton
868,S,Southampton
869,S,Southampton
870,S,Southampton
871,S,Southampton
872,S,Southampton
873,S,Southampton
874,C,Cherbourg
875,C,Cherbourg
876,S,Southampton
877,S,Southampton
878,S,Southampton
879,C,Cherbourg
880,S,Southampton
881,S,Southampton
882,S,Southampton
883,S,Southampton
884,S,Southampton
885,Q,Queenstown
886,S,Southampton
887,S,Southampton
888,S,Southampton
889,C,Cherbourg
890,Q,Queenstown
